10	43
11	51
12	48
13	36
14	35
15	30
16	32
17	28
18	21
19	21
20	24
21	22
22	20
23	13
24	12
25	6
26	16
27	7
28	15
29	14
30	13
31	12
32	5
33	6
34	8
35	9
36	4
37	11
38	9
39	8
40	4
41	2
42	7
43	3
44	7
45	5
46	5
47	8
48	7
49	2
50	6
51	7
52	4
53	3
54	1
55	4
56	4
57	6
58	4
59	3
60	1
61	6
62	2
63	2
64	6
66	1
67	4
68	3
69	4
70	1
71	6
72	3
73	4
74	1
75	2
76	6
77	2
78	3
79	1
80	3
81	1
82	3
83	2
84	2
86	4
87	4
88	1
90	1
91	3
92	1
94	1
95	1
96	1
97	3
98	4
99	3
100	2
101	3
103	1
104	2
105	1
107	2
110	2
112	3
113	1
114	2
115	1
116	2
119	1
121	2
122	1
123	1
124	1
127	3
128	4
130	2
131	1
133	1
135	1
137	1
139	1
140	1
141	4
142	2
143	2
144	2
146	4
147	4
148	1
149	1
150	1
151	2
154	1
157	3
158	3
161	1
164	1
166	2
169	1
170	2
171	2
175	1
177	1
178	1
179	2
181	1
183	1
184	2
185	2
187	1
188	1
189	1
190	1
192	1
193	1
197	1
199	2
210	1
211	1
216	2
217	1
222	1
224	1
227	1
229	1
233	1
234	1
235	1
236	1
237	2
243	1
245	1
248	1
259	1
262	1
263	1
264	1
271	2
274	1
275	2
276	1
277	1
279	1
285	1
291	1
301	1
303	1
304	1
306	1
307	1
308	1
310	1
312	1
319	1
323	1
336	1
346	1
348	1
350	1
352	1
357	2
363	1
370	1
375	1
378	2
391	1
405	1
410	1
416	1
422	1
425	1
442	1
444	1
456	1
462	1
466	1
487	1
493	1
498	2
